sno,ss_id,ss_name,PTR_Capacity,Voltage_Rating,Manufacturer,ManufSerialNo,YoM,Doc
877,316,220/132/33KV SS Shamshabad,50,132/33KV,BHARAT BIJLEE LTD,5469/27,2015,12-01-2016
878,316,220/132/33KV SS Shamshabad,100,220/132KV,T/F ELE KERALA LTD,130151-1,2005,20-07-2005
879,316,220/132/33KV SS Shamshabad,100,220/132KV,EMCO,HT1381/11863,1998,12-03-2016
880,316,220/132/33KV SS Shamshabad,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101376,2018,06-10-2018
881,317,220/132/33KV SS Shivarampally,80,132/33KV,BHARAT BIJLEE LTD,5262/04,2011,07-03-2012
882,317,220/132/33KV SS Shivarampally,50,132/33KV,ABB POWER PRODUCTS AND SYSTEMS,12014/001,2002,15-11-2002
883,317,220/132/33KV SS Shivarampally,160,220/132KV,VIJAI ELECTRICALS LTD,90115C02,2012,03-09-2014
884,317,220/132/33KV SS Shivarampally,80,132/33KV,TECHNICAL ASSOCIATES LTD,SO 0000478,2016,26-08-2016
885,317,220/132/33KV SS Shivarampally,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,1576,2005,15-12-2005
886,317,220/132/33KV SS Shivarampally,80,132/33KV,BHARAT BIJLEE LTD,05118/1,2009,24-09-2009
887,317,220/132/33KV SS Shivarampally,100,220/132KV,ALSTOM INSTRUMENT TRANSFORMERS,TSSC-6558/E/B-29825,2005,06-08-2005
888,317,220/132/33KV SS Shivarampally,160,220/132KV,BHARAT BIJLEE LTD,5595/11,2017,26-07-2018
889,317,220/132/33KV SS Shivarampally,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100460,2025,11-04-2025
890,318,220/132KV SS Siricilla,50,132/33KV,CROMPTON GREAVES LTD,T-8719,2000,30-11-2000
891,318,220/132KV SS Siricilla,100,220/132KV,GEC ALSTOM,B-28801,1994,20-01-2017
892,318,220/132KV SS Siricilla,100,220/132KV,T/F ELE KERALA LTD,130137-6,2001,15-12-2016
893,318,220/132KV SS Siricilla,100,220/132KV,BHEL,2010973,1998,23-01-2017
894,318,220/132KV SS Siricilla,50,132/33KV,BHEL,2001970,1984,28-12-2020
895,318,220/132KV SS Siricilla,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PCO101369,2018,09-08-2018
896,319,220/132/33KV SS Tandur,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0100291,2012,05-01-2013
897,319,220/132/33KV SS Tandur,50,132/33KV,VOLTAMP TRANSFORMERS LTD,21671/4,2017,21-12-2019
898,319,220/132/33KV SS Tandur,100,220/132KV,CROMPTON GREAVES LTD,BH9038/22,2002,25-07-2005
899,319,220/132/33KV SS Tandur,100,220/132KV,T/F ELE KERALA LTD,130137/5,2001,03-09-2016
900,320,220/132/33KV SS Waddekothapally,50,132/33KV,ABB POWER PRODUCTS AND SYSTEMS,12014-005,2002,11-02-2003
901,320,220/132/33KV SS Waddekothapally,50,132/33KV,BHARAT BIJLEE LTD,5131/8,2009,21-06-2010
902,320,220/132/33KV SS Waddekothapally,160,220/132KV,IMP POWERS LTD,PT-7610,2015,06-02-2016
903,320,220/132/33KV SS Waddekothapally,160,220/132KV,BHARAT BIJLEE LTD,5471/2,2015,24-11-2015
904,320,220/132/33KV SS Waddekothapally,160,220/132KV,BHARAT BIJLEE LTD,5471/18,2016,25-04-2016
905,320,220/132/33KV SS Waddekothapally,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86769,2017,19-02-2021
906,321,220/132/33KV SS Wanaparthy,160,220/132KV,BHARAT BIJLEE LTD,5471/10,2015,29-02-2016
907,321,220/132/33KV SS Wanaparthy,160,220/132KV,VIJAI ELECTRICALS LTD,210002,2010,02-08-2010
908,321,220/132/33KV SS Wanaparthy,80,132/33KV,BHARAT BIJLEE LTD,5486/6,2016,22-03-2016
909,321,220/132/33KV SS Wanaparthy,80,132/33KV,IMP POWERS LTD,PT7605,2015,13-02-2016
910,321,220/132/33KV SS Wanaparthy,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100468,2025,30-04-2025
911,322,220/132/33KV SS Durshed,160,220/132KV,IMP POWERS LTD,PT-7609,2015,30-12-2015
912,322,220/132/33KV SS Durshed,160,220/132KV,BHARAT BIJLEE LTD,5471/09,2015,14-03-2016
913,322,220/132/33KV SS Durshed,160,220/132KV,BHARAT BIJLEE LTD,5471/07,2015,23-02-2016
914,322,220/132/33KV SS Durshed,31.5,132/33KV,BHEL,2037960,2013,04-12-2014
915,322,220/132/33KV SS Durshed,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86775,2017,12-09-2018
916,323,220/132/33KV SS Bheemgal,160,220/132KV,BHARAT BIJLEE LTD,5471/8,2015,19-02-2016
917,323,220/132/33KV SS Bheemgal,80,132/33KV,BHARAT BIJLEE LTD,5486/5,2016,22-06-2024
918,323,220/132/33KV SS Bheemgal,80,132/33KV,BHARAT BIJLEE LTD,5610/1,2017,09-02-2018
919,323,220/132/33KV SS Bheemgal,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM 0100464,2023,20-12-2023
920,324,220/132/33KV SS Chandanvally,50,132/33KV,BHARAT BIJLEE LTD,4957/6,2007,30-12-2017
921,324,220/132/33KV SS Chandanvally,100,220/132KV,BHARAT BIJLEE LTD,5590/14,2018,06-02-2020
922,324,220/132/33KV SS Chandanvally,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101732,2023,07-02-2024
923,325,220/132/33KV SS Jangaon,50,132/33KV,APEX TRANSFORMERS LTD,T-956A/03,1997,28-12-2024
924,325,220/132/33KV SS Jangaon,160,220/132KV,BHARAT BIJLEE LTD,5273/1,2011,07-09-2022
925,325,220/132/33KV SS Jangaon,50,132/33KV,MARSONS LTD,83568,2014,10-10-2014
926,325,220/132/33KV SS Jangaon,100,220/132KV,BHARAT BIJLEE LTD,5590/16,2018,27-05-2019
927,326,220/33/11KV SS Salivagu,50,220/11KV,VIJAI ELECTRICALS LTD,90072A01,2010,27-04-2011
928,326,220/33/11KV SS Salivagu,50,220/11KV,VIJAI ELECTRICALS LTD,90070A01,2010,29-08-2010
929,326,220/33/11KV SS Salivagu,31.5,220/33KV,VOLTAMP TRANSFORMERS LTD,22515/2,2015,13-01-2016
930,326,220/33/11KV SS Salivagu,31.5,220/33KV,VOLTAMP TRANSFORMERS LTD,22515/1,2015,23-02-2016
931,327,220/33 KVKV SS Chanchalguda,50,220/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101573,2020,20-03-2021
932,327,220/33 KVKV SS Chanchalguda,50,220/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101574,2020,26-03-2021
933,327,220/33 KVKV SS Chanchalguda,50,220/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101572,2020,31-03-2021
934,366,220/33KV SS Domalapenta,31.5,220/33KV,VOLTAMP TRANSFORMERS LTD,22549/1-R,2016,18-09-2016
935,366,220/33KV SS Domalapenta,31.5,220/33KV,BHARAT BIJLEE LTD,5652/2,2018,26-07-2019
936,328,220/33KV SS Hayathnagar(Autonagar),100,220/33KV,INDO TECH TRANSFORMERS LTD,ITK-55518,2021,20-07-2021
937,328,220/33KV SS Hayathnagar(Autonagar),100,220/33KV,INDO TECH TRANSFORMERS LTD,ITK-55517,2021,26-08-2021
938,329,220/33KV SS HIAL,50,220/33KV,ATLANTA ELECTRICALS PVT LTD,1722/10,2024,31-07-2024
939,329,220/33KV SS HIAL,50,220/33KV,ATLANTA ELECTRICALS PVT LTD,1722/20,2024,28-08-2024
940,330,220/33KV SS Nagaram,31.5,220/33KV,BHARAT BIJLEE LTD,5652/1,2018,27-11-2018
941,330,220/33KV SS Nagaram,31.5,220/33KV,ATLANTA ELECTRICALS PVT LTD,1394/10,2020,20-10-2020
942,331,220/33KV SS Singotam,50,220/33KV,BHARAT BIJLEE LTD,5277/2,2012,30-10-2021
943,331,220/33KV SS Singotam,31.5,220/33KV,VOLTAMP TRANSFORMERS LTD,22515/3,2015,02-09-2016
944,332,220/11KV SS Bheemghanpur,50,220/11KV,VIJAI ELECTRICALS LTD,90072A03,2010,21-07-2010
945,332,220/11KV SS Bheemghanpur,50,220/11KV,VIJAI ELECTRICALS LTD,90070A03,2010,08-08-2019
946,332,220/11KV SS Bheemghanpur,80,220/11KV,ATLANTA ELECTRICALS PVT LTD,1290/20,2018,14-08-2019
947,332,220/11KV SS Bheemghanpur,80,220/11KV,ATLANTA ELECTRICALS PVT LTD,1290/10,2018,07-06-2019
948,332,220/11KV SS Bheemghanpur,31.5,220/33KV,ATLANTA ELECTRICALS PVT LTD,1390/10,2019,06-07-2020
949,333,220/33KV SS BOWRAMPET,50,220/33KV,BHARAT BIJLEE LTD,5277/1,2012,01-03-2025
950,333,220/33KV SS BOWRAMPET,31.5,220/33KV,ATLANTA ELECTRICALS PVT LTD,1390/20,2019,30-12-2019
951,334,33/132KV SS NTPC Ramagundam (10MW Solar Plant),10/16,33/132KV,ANDREW YULE,12616,1997,10-05-2016
952,335,400/220KV SS Ramadugu,25,400/11KV,T/F ELE KERALA LTD,120682-02,2017,17-09-2018
953,335,400/220KV SS Ramadugu,25,400/11KV,T/F ELE KERALA LTD,120682-01,2017,28-06-2018
954,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-02,2017,25-06-2019
955,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-01,2017,28-06-2019
956,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-03,2017,26-07-2019
957,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-05,2017,15-08-2019
958,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-06,2017,22-09-2019
959,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-04,2017,29-08-2019
960,335,400/220KV SS Ramadugu,160,400/13.8KV,T/F ELE KERALA LTD,140190-07,2017,07-09-2019
961,335,400/220KV SS Ramadugu,500,400/220KV,TOSHIBA,90356A01,2019,29-01-2020
962,335,400/220KV SS Ramadugu,500,400/220KV,TOSHIBA,90356A04,2019,29-01-2020
963,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-01,2017,28-12-2018
964,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-02,2017,28-12-2018
965,337,400/11KV SS Medaram,25,400/11KV,T/F ELE KERALA LTD,120683-01,2017,27-08-2018
966,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-03,2017,14-05-2019
967,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-04,2017,14-05-2019
968,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-05,2017,18-07-2019
969,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-06,2017,23-09-2019
970,337,400/11KV SS Medaram,160,400/11KV,T/F ELE KERALA LTD,140191-07,2017,26-10-2019
971,337,400/11KV SS Medaram,100,400/11KV,T/F ELE KERALA LTD,120683-02,2017,28-12-2018
972,338,400/11KV SS Tukkapur,25,400/11KV,SIEMENS LTD,I100186-01,2018,30-01-2020
973,338,400/11KV SS Tukkapur,25,400/11KV,SIEMENS LTD,I100186-02,2018,30-01-2020
974,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,100187-01,2018,17-02-2020
975,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,100187-02,2017,17-02-2020
976,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-03,2018,22-02-2020
977,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-04,2018,22-02-2020
978,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-06,2018,16-03-2020
979,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-05,2018,06-03-2020
980,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-07,2018,01-04-2020
981,338,400/11KV SS Tukkapur,50,400/11KV,SIEMENS LTD,I100187-08,2018,24-03-2020
982,341,400/11KV SS Chandulapur,25,400/11KV,T/F ELE KERALA LTD,120698-01,2018,05-07-2019
983,341,400/11KV SS Chandulapur,25,400/11KV,T/F ELE KERALA LTD,120698-02,2018,22-08-2019
984,341,400/11KV SS Chandulapur,160,400/11KV,T/F ELE KERALA LTD,140194-01,2018,06-09-2019
985,341,400/11KV SS Chandulapur,160,400/11KV,T/F ELE KERALA LTD,140194-03,2019,18-10-2019
986,341,400/11KV SS Chandulapur,160,400/11KV,T/F ELE KERALA LTD,140194-04,2019,18-10-2019
987,341,400/11KV SS Chandulapur,160,400/11KV,T/F ELE KERALA LTD,140194-02,2018,17-09-2019
988,342,400/220/132KV SS Suryapet,315,400/220KV,CROMPTON GREAVES LTD,BH10608/01,2015,31-03-2016
989,342,400/220/132KV SS Suryapet,315,400/220KV,CROMPTON GREAVES LTD,T10725-01,2016,17-03-2017
990,342,400/220/132KV SS Suryapet,160,220/132KV,IMP POWERS LTD,PT7718,2016,13-01-2023
991,342,400/220/132KV SS Suryapet,100,220/132KV,TBEA LTD,15B05076,2015,22-06-2016
992,342,400/220/132KV SS Suryapet,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100478,2023,26-11-2023
993,343,400/220KV SS Asupaka,315,400/220KV,CROMPTON GREAVES LTD,T-10725/3,2016,10-08-2017
994,343,400/220KV SS Asupaka,315,400/220KV,CROMPTON GREAVES LTD,BH10608/03,2015,04-10-2024
995,344,400/220KV SS Dichpally,315,400/220KV,EMCO,12798,2008,05-04-2008
996,344,400/220KV SS Dichpally,315,400/220KV,EMCO,12839,2007,24-05-2008
997,344,400/220KV SS Dichpally,315,400/220KV,CROMPTON GREAVES LTD,T-10725/2,2016,27-03-2017
998,344,400/220KV SS Dichpally,500,400/220KV,TOSHIBA,90677A02,2022,21-02-2024
999,345,400/220/132KV SS Gajwel,160,220/132KV,TOSHIBA,90161A02,2015,01-07-2015
1000,345,400/220/132KV SS Gajwel,315,400/220KV,EMCO,HT 1724 12797,2007,16-09-2011
1001,345,400/220/132KV SS Gajwel,315,400/220KV,T/F ELE KERALA LTD,140166-09,2013,19-09-2014
1002,345,400/220/132KV SS Gajwel,500,400/220KV,TRANSFORMERS & RECTIFIERS LTD,PM0100213,2017,03-05-2018
1003,345,400/220/132KV SS Gajwel,160,220/132KV,BHARAT BIJLEE LTD,5595/6,2017,26-08-2022
1004,345,400/220/132KV SS Gajwel,160,220/132KV,BTW ATLANTA TRANSFORMERS,20192T01,2019,16-12-2019
1005,345,400/220/132KV SS Gajwel,500,400/220KV,TOSHIBA,90605A03,2022,25-02-2023
1006,346,400/220KV SS Julurupadu,315,400/220KV,TOSHIBA,90204A01,2016,30-07-2018
1007,346,400/220KV SS Julurupadu,315,400/220KV,TOSHIBA,90204A02,2017,30-07-2018
1008,347,400/220KV SS Maheshwaram,500,400/220KV,TBEA LTD,16B 12103/K0190,2016,03-09-2017
1009,347,400/220KV SS Maheshwaram,500,400/220KV,TBEA LTD,17B02005/K0191,2016,15-11-2017
1010,348,400/220KV SS Mamidipally,315,400/220KV,CROMPTON GREAVES LTD,T-8513/3,1997,24-04-2000
1011,348,400/220KV SS Mamidipally,315,400/220KV,BHEL,6006453,2008,16-04-2011
1012,348,400/220KV SS Mamidipally,315,400/220KV,T/F ELE KERALA LTD,1401668,2013,06-01-2016
1013,348,400/220KV SS Mamidipally,315,400/220KV,ABB POWER PRODUCTS AND SYSTEMS,14001-002,2005,27-03-2024
1014,349,400/220/132KV SS Narsapur,315,400/220KV,CROMPTON GREAVES LTD,BH10608/04,2016,31-03-2017
1015,349,400/220/132KV SS Narsapur,100,220/132KV,BHEL,2038212,2014,11-07-2017
1016,349,400/220/132KV SS Narsapur,315,400/220KV,CROMPTON GREAVES LTD,T10797/01,2016,15-09-2017
1017,349,400/220/132KV SS Narsapur,315,400/220KV,CROMPTON GREAVES LTD,T10797/03,2016,24-11-2017
1018,349,400/220/132KV SS Narsapur,160,220/132KV,BHARAT BIJLEE LTD,5471/13,2015,16-09-2017
1019,349,400/220/132KV SS Narsapur,160,220/132KV,BHARAT BIJLEE LTD,5595/05,2017,19-10-2024
1020,350,400/220KV SS Nirmal,315,400/220KV,TOSHIBA,90204A04,2017,07-08-2018
1021,350,400/220KV SS Nirmal,315,400/220KV,TOSHIBA,90204A05,2017,07-08-2018
1022,350,400/220KV SS Nirmal,315,400/220KV,TOSHIBA,90204A03,2017,14-08-2018
1023,351,400/220KV SS Shankarpally,315,400/220KV,T/F ELE KERALA LTD,140166-3,2012,06-03-2013
1024,351,400/220KV SS Shankarpally,315,400/220KV,T/F ELE KERALA LTD,140166-2,2012,18-11-2012
1025,351,400/220KV SS Shankarpally,315,400/220KV,T/F ELE KERALA LTD,140166-1,2012,03-06-2013
1026,351,400/220KV SS Shankarpally,500,400/220KV,TRANSFORMERS & RECTIFIERS LTD,PM0100214,2018,10-10-2018
1027,352,400/220KV SS Veltoor,315,400/220KV,EMCO,HT 1724/1284,2007,31-01-2010
1028,352,400/220KV SS Veltoor,315,400/220KV,VIJAI ELECTRICALS LTD,90014A01,2009,16-06-2010
1029,352,400/220KV SS Veltoor,500,400/220KV,TOSHIBA,90677A01,2022,08-02-2023
1030,352,400/220KV SS Veltoor,500,400/220KV,TOSHIBA,90605A02,2021,04-08-2023
1031,353,400/220/11KV SS Kamalapuram,315,400/220KV,BHEL,6006452,2007,29-04-2024
1032,353,400/220/11KV SS Kamalapuram,315,400/220KV,THOSHIBA T&D SYSTEMS PVT LTD,90366B01,2019,11-11-2021
1033,353,400/220/11KV SS Kamalapuram,315,400/220KV,THOSHIBA T&D SYSTEMS PVT LTD,90366B02,2019,11-11-2021
1034,354,400/220/11KV SS Sundilla,315,400/220KV,T/F ELE KERALA LTD,140193-01,2018,13-08-2018
1035,354,400/220/11KV SS Sundilla,315,400/220KV,T/F ELE KERALA LTD,140193-2,2018,24-12-2018
1036,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-1,2018,15-03-2019
1037,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-6,2018,15-03-2019
1038,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-8,2018,09-04-2019
1039,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-7,2018,09-04-2019
1040,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-2,2018,09-04-2019
1041,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-5,2018,01-07-2019
1042,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120696-4,2017,01-07-2019
1043,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-3,2017,01-07-2019
1044,354,400/220/11KV SS Sundilla,315,400/220KV,T/F ELE KERALA LTD,140193-03,2018,29-06-2019
1045,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120696-09,2019,31-08-2019
1046,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120696-10,2019,05-12-2019
1047,354,400/220/11KV SS Sundilla,315,400/220KV,T/F ELE KERALA LTD,140193-04,2019,14-02-2020
1048,354,400/220/11KV SS Sundilla,50,220/11KV,T/F ELE KERALA LTD,120697-11,2019,25-09-2020
1049,354,400/220/11KV SS Sundilla,50,220/11KV,TOSHIBA,NA,1111,16-10-2020
1050,354,400/220/11KV SS Sundilla,50,220/11KV,TOSHIBA,NA,1111,20-11-2020
1051,354,400/220/11KV SS Sundilla,50,220/11KV,TOSHIBA,NA,1111,16-12-2020
1052,354,400/220/11KV SS Sundilla,50,220/11KV,TOSHIBA,NA,1111,26-12-2020
1053,354,400/220/11KV SS Sundilla,50,220/11KV,TOSHIBA,NA,1111,28-10-2020
1054,355,400/220/132KV SS Malkaram,315,400/220KV,VIJAI ELECTRICALS LTD,90014A03,2009,15-05-2010
1055,355,400/220/132KV SS Malkaram,315,400/220KV,T/F ELE KERALA LTD,140166-4,2012,15-02-2013
1056,355,400/220/132KV SS Malkaram,100,220/132KV,EMCO,HT-1698,2006,17-04-2008
1057,355,400/220/132KV SS Malkaram,315,400/220KV,VIJAI ELECTRICALS LTD,90014A04,2009,15-05-2010
1058,355,400/220/132KV SS Malkaram,315,400/220KV,TOSHIBA,90204A08,2017,22-11-2018
1059,355,400/220/132KV SS Malkaram,160,220/132KV,BHARAT BIJLEE LTD,05595/8,2018,06-07-2018
1060,356,400/220/132/33KV SS Raidurg,500,400/220KV,TOSHIBA,90366A01,2019,13-01-2022
1061,356,400/220/132/33KV SS Raidurg,500,400/220KV,TOSHIBA,90366A02,2019,13-01-2022
1062,356,400/220/132/33KV SS Raidurg,160,220/132KV,BTW ATLANTA TRANSFORMERS,201812T02,2019,13-12-2021
1063,356,400/220/132/33KV SS Raidurg,160,220/132KV,BTW ATLANTA TRANSFORMERS,20191T02,2019,15-12-2021
1064,356,400/220/132/33KV SS Raidurg,80,132/33KV,TOSHIBA,90505A01,2020,05-02-2022
1065,356,400/220/132/33KV SS Raidurg,80,132/33KV,TOSHIBA,90505A02,2020,05-02-2022
1066,356,400/220/132/33KV SS Raidurg,80,132/33KV,TOSHIBA,90505A03,2020,05-02-2022
1067,357,400/220/132KVKV SS KTPP Bhupalapally,100,220/132KV,BHARAT BIJLEE LTD,5590/15 MFG,2018,11-12-2018
1068,358,400/220/132KV SS Choutuppal,500,400/220KV,TOSHIBA,90605A01,2021,16-03-2023
1069,358,400/220/132KV SS Choutuppal,500,400/220KV,TOSHIBA,90709A01,2023,03-11-2023
1070,358,400/220/132KV SS Choutuppal,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100458,2023,08-01-2024
1071,358,400/220/132KV SS Choutuppal,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100482,2023,15-02-2024
1072,359,400/220KV SS Dindi,315,400/220KV,CROMPTON GREAVES LTD,T-10797/4,2016,18-12-2017
1073,359,400/220KV SS Dindi,315,400/220KV,CROMPTON GREAVES LTD,T10797/2,2016,30-08-2017
1074,360,400/220KV SS Jangaon,500,400/220KV,TRANSFORMERS & RECTIFIERS LTD,PM0100215,2018,14-05-2019
1075,360,400/220KV SS Jangaon,500,400/220KV,TOSHIBA,90356A02,2019,01-11-2019
1076,360,400/220KV SS Jangaon,500,400/220KV,TOSHIBA,90356A03,2019,13-11-2019
1077,361,400/220/132KV SS Kethireddypally,100,220/132KV,BHEL,2014589,2003,19-03-2025
1078,361,400/220/132KV SS Kethireddypally,315,400/220KV,TOSHIBA,90204A06,2017,14-11-2018
1079,361,400/220/132KV SS Kethireddypally,315,400/220KV,TOSHIBA,90204A07,2017,14-11-2018
1080,361,400/220/132KV SS Kethireddypally,100,220/132KV,BHARAT BIJLEE LTD,"5590/17,MFG",2018,11-12-2018
1081,362,400/220KV SS Damarcherla,500,400/220KV,TOSHIBA,90606A02,2021,30-12-2022
1082,362,400/220KV SS Damarcherla,500,400/220KV,TOSHIBA,90606A01,2021,30-12-2022
1083,363,400/11KV SS Tippapur,120,400/11KV,T/F ELE KERALA LTD,140196-1,2018,04-09-2019
1084,363,400/11KV SS Tippapur,25,400/11KV,T/F ELE KERALA LTD,120705-1,2018,02-08-2019
1085,363,400/11KV SS Tippapur,25,400/11KV,T/F ELE KERALA LTD,120705-02,2019,18-07-2019
1086,363,400/11KV SS Tippapur,120,400/11KV,T/F ELE KERALA LTD,140196-2,2019,26-09-2019
1087,363,400/11KV SS Tippapur,120,400/11KV,T/F ELE KERALA LTD,140196-3,2019,13-09-2019
1088,363,400/11KV SS Tippapur,120,400/11KV,T/F ELE KERALA LTD,140196-4,2019,28-01-2020
1089,364,132/33KV SS Nizamabad,50,132/33KV,IMP POWERS LTD,PT-7596,2016,17-02-2016
1090,364,132/33KV SS Nizamabad,50,132/33KV,ECE INDUSTRIES LIMITED,S86646,2015,10-11-2015
1091,364,132/33KV SS Nizamabad,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101379,2018,18-08-2018
1092,365,132/33KV SS Pammy,31.5,132/33KV,BHARAT BIJLEE LTD,5333/21,2012,27-08-2014
1093,365,132/33KV SS Pammy,10/16,132/33KV,NGEF LTD,2800033093,1979,28-02-2025
1094,292,220/132/33KV SS Gachibowli,80,132/33KV,INDO TECH TRANSFORMERS LTD,ITK56007/6239,2025,03.12.2025
